episode,training_reward
1,0.0
2,0.0
3,0.0
4,1.0
5,1.0
6,0.0
7,0.0
8,0.0
9,1.0
10,1.0
11,0.0
12,1.0
13,0.0
14,0.0
15,1.0
16,1.0
17,0.0
18,0.0
19,1.0
20,0.0
21,0.0
22,1.0
23,0.0
24,0.0
25,0.0
26,1.0
27,0.0
28,0.0
29,0.0
30,2.0
31,0.0
32,0.0
33,2.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,1.0
40,0.0
41,0.0
42,0.0
43,2.0
44,0.0
45,0.0
46,0.0
47,1.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,1.0
59,2.0
60,1.0
61,1.0
62,0.0
63,0.0
64,0.0
65,1.0
66,0.0
67,1.0
68,1.0
69,0.0
70,0.0
71,2.0
72,0.0
73,1.0
74,0.0
75,0.0
76,0.0
77,1.0
78,1.0
79,0.0
80,2.0
81,0.0
82,1.0
83,1.0
84,0.0
85,1.0
86,0.0
87,1.0
88,1.0
89,0.0
90,0.0
91,0.0
92,0.0
93,1.0
94,1.0
95,1.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,1.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,2.0
111,2.0
112,1.0
113,0.0
114,0.0
115,0.0
116,0.0
117,2.0
118,0.0
119,0.0
120,3.0
121,1.0
122,0.0
123,2.0
124,0.0
125,2.0
126,2.0
127,0.0
128,2.0
129,0.0
130,1.0
131,0.0
132,1.0
133,0.0
134,0.0
135,1.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,1.0
145,1.0
146,0.0
147,1.0
148,1.0
149,2.0
150,0.0
151,0.0
152,1.0
153,3.0
154,1.0
155,1.0
156,0.0
157,0.0
158,0.0
159,0.0
160,2.0
161,0.0
162,0.0
163,0.0
164,1.0
165,0.0
166,1.0
167,0.0
168,0.0
169,1.0
170,1.0
171,1.0
172,0.0
173,1.0
174,0.0
175,0.0
176,0.0
177,1.0
178,1.0
179,0.0
180,0.0
181,0.0
182,0.0
183,1.0
184,0.0
185,0.0
186,0.0
187,3.0
188,0.0
189,0.0
190,0.0
191,0.0
192,1.0
193,1.0
194,0.0
195,0.0
196,1.0
197,1.0
198,0.0
199,1.0
200,0.0
201,1.0
202,1.0
203,1.0
204,2.0
205,1.0
206,1.0
207,1.0
208,0.0
209,2.0
210,1.0
211,2.0
212,0.0
213,1.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,2.0
221,1.0
222,1.0
223,0.0
224,1.0
225,2.0
226,0.0
227,0.0
228,3.0
229,0.0
230,1.0
231,0.0
232,0.0
233,1.0
234,0.0
235,1.0
236,0.0
237,0.0
238,2.0
239,1.0
240,0.0
241,2.0
242,0.0
243,1.0
244,0.0
245,0.0
246,0.0
247,0.0
